Date,BABA,TSM,NVS,JD,SAP,ASML,ACN,UN,AZN,BHP,LIN,SHOP,GSK,RIO,RY,TD,BP,NTES,ENB,TAK,SPOT,MELI,TAL,AON,UBS,INFY,BIDU,VOD,LULU,ETN,NXPI,INFO,ZTO,TEL,CS,JCI,MRVL,EDU,TT,LBTYA,STX,QGEN,LBTYK,CRSP,ALV,SU
2019-02-07,166.96,38.12,79.14,23.98,103.46,181.1,155.18,55.08,36.94,50.47,160.69,171.8,40.57,56.27,76.29,56.08,42.7,47.54,37.05,20.0,131.19,358.2,30.9,166.88,12.77,10.85,171.58,18.05,147.63,76.36,90.73,52.21,17.79,80.96,11.84,33.89,18.33,76.82,78.53,25.46,44.46,36.79,24.5,29.78,75.37,32.61
2019-02-08,167.36,37.79,79.61,23.99,104.03,181.07,155.59,55.09,37.01,50.7,161.22,175.95,41.09,56.03,76.06,56.28,42.49,47.98,36.1,19.75,134.71,347.82,31.68,168.17,12.68,10.86,169.9,18.04,148.62,75.83,87.51,52.41,17.91,80.41,11.7,34.0,18.39,77.6,79.07,25.13,45.02,36.68,24.13,30.39,73.72,32.24
2019-02-11,167.45,38.29,78.96,24.28,104.09,178.52,155.32,54.73,36.68,50.9,161.35,173.17,40.23,55.78,75.51,55.63,42.21,48.03,36.3,19.78,137.82,350.83,32.92,170.76,12.69,10.82,168.06,18.12,149.79,75.63,89.25,52.61,18.15,80.08,11.68,34.07,19.05,79.01,79.53,24.28,44.65,36.68,23.34,31.13,73.75,32.32
2019-02-12,168.71,38.64,79.61,24.68,104.63,182.79,156.63,55.55,37.2,51.25,167.53,175.55,40.53,55.92,76.09,56.34,42.42,48.88,35.67,19.83,140.46,364.0,32.91,171.28,12.82,10.77,170.25,17.97,157.32,76.67,93.23,53.11,18.8,81.44,11.88,34.61,19.4,77.44,80.49,24.82,45.39,37.17,23.91,31.64,75.8,32.53
2019-02-13,169.4,38.13,79.6,24.61,105.26,182.31,158.03,55.44,36.58,51.66,167.38,172.02,40.37,56.32,76.07,56.46,42.64,48.11,35.91,20.0,143.54,360.57,33.29,172.96,12.91,10.8,173.82,17.93,155.27,77.67,91.88,53.35,19.25,81.26,11.99,34.83,19.29,78.74,81.14,24.72,45.74,37.55,23.77,31.11,76.38,32.34
2019-02-14,168.38,38.06,79.77,24.33,105.94,184.33,157.85,55.11,39.98,51.97,166.5,176.52,40.86,56.28,75.79,56.17,41.87,48.23,35.7,20.11,146.87,359.84,32.74,169.62,12.68,10.76,174.08,17.94,154.85,77.2,91.75,52.99,19.18,80.86,11.56,34.65,19.19,77.07,80.29,24.92,45.77,38.19,24.08,30.93,76.16,32.55
2019-02-15,166.15,38.09,80.54,23.96,106.82,184.37,159.23,55.15,40.92,52.76,168.54,178.19,41.24,57.15,76.59,56.91,42.29,45.52,35.82,20.46,148.52,363.1,32.58,171.97,12.95,10.76,170.06,18.26,151.09,78.73,93.04,53.42,18.81,82.14,11.75,35.1,18.83,77.53,81.25,25.66,45.71,38.64,24.82,31.52,78.23,33.89
2019-02-19,170.18,38.46,80.62,24.64,106.74,182.46,159.48,55.53,40.46,53.2,167.86,181.3,41.29,57.83,77.07,57.26,42.38,45.93,36.29,20.25,146.28,367.21,31.95,172.66,12.92,10.55,172.45,18.44,147.57,78.8,92.5,53.13,19.25,82.17,11.9,34.91,19.31,76.82,81.46,25.54,45.89,38.63,24.73,32.41,79.8,34.41
2019-02-20,170.71,39.0,81.31,24.68,106.86,183.85,159.71,55.8,40.53,54.17,170.3,179.21,41.36,58.43,78.02,57.89,42.48,46.52,36.71,20.16,147.83,368.34,32.57,172.8,12.46,10.7,171.18,18.51,148.12,79.72,94.25,53.04,19.23,82.78,12.02,35.43,19.8,79.28,81.9,25.64,45.89,38.95,24.78,31.99,82.77,34.3
2019-02-21,171.66,38.98,81.1,24.27,106.98,182.53,159.53,56.02,40.43,53.39,171.4,178.47,40.54,58.02,77.3,57.78,42.29,43.78,36.97,19.94,148.52,364.98,32.88,172.4,12.33,10.55,171.81,18.28,148.11,79.69,94.35,53.08,19.45,82.46,11.89,35.59,19.61,78.38,81.89,25.61,45.11,38.78,24.75,31.18,79.32,34.1
2019-02-22,176.92,39.39,81.34,25.95,108.32,184.89,161.5,55.48,40.94,54.3,173.5,183.63,40.55,58.83,77.39,58.01,42.46,44.53,37.01,19.98,151.19,374.06,33.97,172.06,12.34,10.63,167.17,18.45,149.26,80.79,94.51,53.11,19.61,83.35,11.87,35.77,19.65,80.61,82.49,26.07,47.01,39.04,25.17,31.67,81.23,34.19
2019-02-25,183.25,39.58,81.63,26.19,107.33,186.99,161.67,54.96,41.5,54.16,174.62,187.5,40.49,58.7,77.59,58.06,42.51,44.84,36.87,19.96,149.33,375.09,35.53,171.17,12.46,10.81,165.0,18.2,148.54,80.92,97.14,52.99,19.7,84.06,12.08,35.83,19.7,82.38,82.96,25.36,48.05,38.97,24.53,39.65,82.41,33.95
2019-02-26,183.54,39.6,81.98,26.59,107.57,185.36,161.34,55.34,41.98,54.48,173.91,185.03,40.5,58.8,77.94,58.29,42.52,44.97,37.24,19.99,145.07,369.49,35.43,171.35,12.61,10.73,161.98,17.99,150.98,80.49,94.1,53.02,19.49,83.45,12.19,35.58,19.88,83.71,82.51,26.3,47.48,38.41,25.48,36.2,82.68,34.11
2019-02-27,184.58,39.45,81.8,25.97,107.01,184.12,160.63,53.86,42.39,54.28,174.5,189.2,40.46,58.52,78.47,58.74,42.84,45.12,37.26,20.02,145.0,446.68,35.52,171.19,12.65,10.7,162.17,17.83,150.56,80.64,91.83,53.05,19.54,82.49,12.33,35.51,19.71,81.63,82.98,26.26,46.82,38.6,25.3,36.73,83.27,34.62
2019-02-28,183.03,39.05,81.75,27.71,107.13,182.87,161.38,53.98,41.58,52.9,173.24,189.15,40.36,58.2,78.18,57.38,42.65,44.64,36.99,20.06,140.14,458.79,35.6,171.53,12.67,10.72,162.54,17.85,150.42,79.77,91.32,53.17,19.88,82.09,12.31,35.27,19.95,82.06,81.89,26.35,46.56,38.43,25.39,35.39,81.81,34.46
2019-03-01,183.88,39.39,81.9,28.73,108.38,185.11,164.2,53.39,41.76,52.51,168.38,191.52,40.39,58.36,77.81,56.5,42.58,43.48,37.25,20.41,138.0,451.64,35.5,171.65,12.71,10.84,162.09,17.6,151.38,80.23,94.25,53.98,19.59,83.16,12.36,35.29,20.03,82.77,82.27,26.22,46.35,39.25,25.38,39.97,82.76,34.2
2019-03-04,187.25,39.15,79.98,28.89,107.32,185.66,162.82,53.64,41.69,52.79,168.7,186.47,40.28,58.66,77.74,56.44,42.64,43.79,35.06,21.48,139.23,463.8,36.3,170.63,12.63,10.72,160.92,17.07,147.78,81.3,93.48,53.57,21.15,82.91,12.42,35.31,20.14,82.83,81.85,26.42,46.42,39.13,25.49,39.92,82.87,33.91
2019-03-05,185.0,39.02,80.47,29.35,107.97,184.53,163.67,54.1,42.31,52.89,168.44,187.5,40.36,58.92,77.75,56.28,42.74,45.79,35.62,20.96,143.6,467.77,36.06,157.25,12.49,10.77,167.74,17.51,148.9,80.8,93.3,53.43,20.94,82.53,12.23,35.23,20.05,83.0,82.23,26.12,46.29,39.39,25.31,40.87,82.86,34.05
2019-03-06,184.17,38.79,80.47,29.03,107.59,181.16,162.39,54.01,42.03,53.23,169.13,187.37,40.19,59.19,77.23,55.78,42.7,46.36,36.07,20.51,145.12,461.53,35.55,164.0,12.36,10.71,170.24,17.64,149.09,80.95,91.88,53.04,20.86,81.64,12.13,35.16,19.6,82.2,82.52,26.11,46.26,39.26,25.3,38.39,80.41,33.64
2019-03-07,177.32,38.63,80.13,27.84,106.35,177.52,161.85,54.41,41.66,51.89,167.47,186.94,40.12,54.74,76.67,55.4,42.63,44.89,36.46,20.17,140.18,451.15,34.64,162.55,12.01,10.49,165.72,17.69,147.7,79.93,94.08,52.9,20.46,81.12,11.84,35.67,19.17,79.45,80.97,25.97,45.19,38.92,25.22,38.7,78.22,33.32
2019-03-08,175.03,38.2,80.36,27.05,107.97,178.84,161.69,55.02,41.77,51.65,169.46,189.76,40.12,54.66,76.72,55.83,42.25,45.31,35.93,20.24,140.18,449.59,34.75,162.04,11.93,10.47,163.65,17.83,142.51,79.38,93.18,52.54,20.17,81.19,11.75,35.88,18.68,79.02,80.92,25.26,46.22,38.89,24.61,37.7,76.77,32.64
2019-03-11,180.41,38.64,80.71,27.62,107.72,181.09,163.94,54.66,42.19,52.13,171.28,200.39,40.08,55.28,76.92,56.09,42.33,46.59,36.49,20.63,146.36,481.11,36.06,164.71,12.1,10.55,166.96,18.19,145.29,80.31,94.28,53.62,20.13,82.86,11.93,36.14,19.38,81.43,81.75,24.87,48.63,39.33,24.3,39.04,78.2,33.03
2019-03-12,180.63,38.9,80.71,28.11,108.01,182.51,163.99,54.9,41.85,52.28,172.32,202.47,40.05,55.32,76.91,56.28,42.46,46.55,36.77,20.72,145.33,483.48,33.68,166.48,12.11,10.52,166.99,18.16,145.79,80.36,93.99,54.09,20.01,82.54,11.81,36.09,19.79,78.55,82.22,25.16,48.08,39.35,24.6,39.41,77.58,33.2
